district,property_type,condition,area_m2,bedrooms,bathrooms,floor,age_years,balcony,garden,garage,air_conditioning,price_mad
Centre-ville,apartment,new,257,7,2,3,44,0,0,1,1,2661648
Hay Nahda,house,new,299,7,2,0,4,1,0,1,0,3401016
Hay Bouhdila,villa,new,231,5,2,0,35,1,1,1,0,2352522
Hay Moulouya,apartment,good,134,4,2,4,21,1,0,0,0,1022901
Centre-ville,house,new,130,3,1,0,11,1,1,1,0,1924062
Hay Sidi Ahmed,house,renovated,197,4,2,0,21,1,0,1,0,1774639
Hay Bouhdila,house,good,219,6,2,0,15,1,1,0,1,1827061
Hay Moulouya,apartment,good,164,4,2,4,45,1,0,1,1,1214098
Hay Sidi Ahmed,house,good,242,6,3,0,7,0,1,1,1,2312447
Hay Sidi Ahmed,apartment,to_renovate,144,3,1,3,32,1,0,0,0,773864
Hay Trifa,apartment,new,119,4,1,5,14,1,0,0,0,1024426
Hay Sidi Ahmed,house,good,163,4,1,0,34,1,1,1,1,1547914
Hay Moulouya,house,good,127,3,1,0,42,1,1,0,1,1097187
Centre-ville,apartment,good,67,2,1,3,21,1,0,0,1,725821
Lotissement El Massira,villa,good,272,6,2,0,30,1,0,0,0,3126812
Hay Sidi Ahmed,villa,good,110,2,2,0,1,0,0,1,0,1281898
Hay Sidi Ahmed,apartment,new,186,5,2,2,20,0,0,0,0,1594293
Hay Nahda,apartment,renovated,187,4,2,6,4,0,0,0,1,2141725
Centre-ville,apartment,good,273,8,3,1,14,0,0,0,1,2834035
Hay Nahda,apartment,renovated,108,1,1,6,31,1,0,0,0,866046
Hay Dallas,apartment,new,81,2,1,0,22,0,0,1,0,804139
Hay Bouhdila,house,to_renovate,197,5,2,0,0,1,0,0,1,1389719
Hay El Qods,apartment,to_renovate,124,2,1,5,15,1,0,0,1,858518
Hay Bouhdila,house,new,120,5,1,0,20,0,0,1,1,1188900
Lotissement El Massira,house,good,85,2,1,0,27,1,1,1,1,1051998
Hay Nahda,apartment,to_renovate,163,5,2,4,38,1,0,0,1,1087268
Lotissement El Massira,apartment,good,305,7,2,2,4,1,0,1,0,3225616
Hay Dallas,villa,new,204,5,2,0,35,1,1,1,0,2000858
Hay Trifa,house,good,150,3,1,0,7,1,1,1,1,1458740
Hay Moulouya,house,good,263,7,4,0,43,1,1,0,0,2147880
Hay Bouhdila,house,good,191,5,1,0,27,0,1,1,1,1773607
Hay Sidi Ahmed,apartment,new,243,5,2,0,18,0,0,0,1,1950291
Hay Bouhdila,apartment,renovated,91,3,2,1,21,1,0,0,1,739924
Hay Moulouya,villa,to_renovate,261,7,3,0,5,1,0,1,1,2422055
Hay Dallas,apartment,good,254,6,2,6,6,0,0,0,0,2042010
Hay El Qods,house,good,302,7,4,0,0,0,1,0,0,2762704
Hay Trifa,house,renovated,194,6,2,0,0,1,1,1,1,2142473
Hay Trifa,apartment,new,259,6,2,5,38,1,0,0,0,1973377
Hay Sidi Ahmed,apartment,good,291,7,3,5,9,0,0,1,1,2551231
Hay Dallas,house,good,211,3,1,0,30,0,0,1,0,1664989
Hay Dallas,apartment,good,193,5,2,5,20,0,0,1,0,1770700
Hay Nahda,house,to_renovate,64,2,1,0,28,0,1,1,1,640429
Hay Bouhdila,house,renovated,171,4,2,0,11,1,1,1,0,1864202
Hay El Qods,apartment,good,234,7,4,2,44,1,0,0,0,1769869
Hay Nahda,apartment,good,276,5,2,1,42,1,0,1,0,2144363
Centre-ville,house,renovated,206,5,2,0,30,1,1,1,1,2459106
Hay Dallas,villa,new,247,6,2,0,12,1,0,1,1,3259274
Hay Trifa,house,to_renovate,66,2,1,0,12,1,0,1,0,494578
Hay Moulouya,apartment,renovated,147,2,1,3,44,0,0,1,0,986987
Hay Trifa,house,to_renovate,151,4,2,0,21,1,0,0,0,916382
Hay Nahda,villa,good,183,4,2,0,20,0,1,1,1,2072912
Hay Salam,apartment,good,294,8,3,6,26,1,0,1,0,2447428
Hay Bouhdila,house,renovated,223,5,2,0,34,1,0,1,0,2038288
Hay Bouhdila,house,new,128,2,1,0,27,1,1,1,1,1353642
Hay Sidi Ahmed,apartment,good,218,6,2,4,42,1,0,0,1,1510335
Hay Nahda,house,new,238,7,4,0,45,0,0,0,0,2024191
Hay Trifa,apartment,renovated,267,6,3,3,19,0,0,0,0,2000127
Hay El Qods,apartment,to_renovate,184,4,2,5,39,0,0,0,1,1072068
Hay Moulouya,house,new,167,4,1,0,37,1,1,1,0,1672483
Centre-ville,house,new,283,7,3,0,4,0,1,1,0,4010268
Hay Sidi Ahmed,apartment,new,212,4,1,4,24,0,0,0,1,1721728
Lotissement El Massira,villa,good,231,6,2,0,3,0,0,1,1,3032947
Hay Nahda,villa,renovated,203,3,1,0,22,1,1,1,1,2657431
Hay El Qods,apartment,good,309,8,3,4,40,0,0,1,0,2101623
Hay El Qods,apartment,new,129,1,1,3,28,1,0,1,1,1478227
Hay Sidi Ahmed,house,renovated,205,6,3,0,36,0,0,0,0,1597510
Hay Moulouya,house,to_renovate,95,2,1,0,35,1,1,0,1,716373
Hay Bouhdila,apartment,to_renovate,315,7,3,3,2,1,0,1,0,2009816
Centre-ville,apartment,good,108,3,2,2,19,1,0,0,1,1197225
Hay Dallas,house,new,190,5,1,0,11,1,0,1,1,2186389
Hay Moulouya,apartment,renovated,58,1,1,2,6,0,1,1,1,689289
Hay Trifa,apartment,good,215,4,1,3,0,0,0,1,0,1628360
Hay Salam,villa,good,114,4,3,0,3,0,1,0,0,1566192
